time stock-price decision number-of-stocks portfolio-value
960 200.68 1 50 30270.5
960 198.81 1 0 30114.5
960 198.84 3 0 30078.75
960 199.19 -1 100 29982.5
960 199.35 -3 150 29981.75
960 203.2 -3 100 30247.0
960 203.88 -1 100 30471.5
960 203.88 1 0 30471.5
960 204.61 1 0 30522.0
960 207.5 -1 100 30678.0
960 207.19 -5 100 30631.0
960 205.29 -3 100 30431.0
960 204.34 3 0 30293.5
960 204.56 3 0 30377.5
960 200.66 -3 150 30152.75
960 210.56 -1 100 31432.25
960 209.16 -1 150 31588.5
960 211.75 3 50 32104.0
960 208.59 1 50 32152.0
960 202.89 3 0 31834.5
960 202.93 3 50 31716.0
960 200.42 1 0 31656.5
960 197.26 1 0 31815.25
960 185.67 3 0 31865.0
960 188.61 -3 150 32182.750000000004
960 191.03 -1 150 32337.25
960 190.12 5 0 32157.0
960 188.99 -1 100 32261.5
960 183.07 -1 100 31638.5
960 186.61 -5 150 32067.250000000004
960 182.77 -3 150 31722.75
960 179.69 1 0 31190.75
960 179.06 -1 100 31182.0
960 179.06 -1 150 31182.0
960 178.17 -3 150 31080.749999999996
960 177.33 1 0 31009.0
960 178.28 -1 150 30999.25
960 175.01 -3 150 30718.0
960 173.28 3 0 30851.5
960 179.66 1 0 30972.75
960 182.6 1 0 30796.0
960 185.3 1 50 30921.5
960 190.14 5 0 31041.5
960 192.61 3 0 31037.25
960 194.81 -3 150 31231.75
960 194.17 -1 150 31258.499999999996
960 194.74 1 0 31484.5
960 192.73 -3 150 31517.75
960 193.94 -1 150 31622.5
960 198.5 3 0 32052.75
960 197.81 -5 150 32186.5
