time stock-price decision number-of-stocks portfolio-value
570 200.34 -1 50 30000.0
571 200.16 3 0 29991.0
572 200 1 0 29991.0
573 199.43 -1 50 29991.0
574 199.26 -3 100 29982.5
575 199.26 -3 150 29982.5
576 199.26 -3 150 29982.5
577 199.275 -3 150 29984.75
578 199.54 -1 150 30024.5
579 199.72 1 100 30051.5
580 199.74 5 50 30053.5
581 199.8 5 0 30056.5
582 199.75 3 0 30056.5
583 199.46 1 0 30056.5
584 199.3 -3 50 30056.5
585 199.36 -3 100 30059.5
586 199.48 -1 150 30071.5
587 199.79 1 100 30118.0
588 199.71 3 50 30110.0
589 199.54 1 0 30101.5
590 199.84 -1 50 30101.5
591 199.81 1 0 30100.0
592 199.75 1 0 30100.0
593 199.71 -1 50 30100.0
594 199.86 1 0 30107.5
595 199.84 1 0 30107.5
596 199.54 1 0 30107.5
597 199.75 -3 50 30107.5
598 199.81 -1 100 30110.5
599 199.65 -1 150 30094.5
600 199.81 -1 150 30118.5
601 199.92 1 100 30135.0
602 199.96 5 50 30139.0
603 199.905 3 0 30136.25
604 199.935 1 0 30136.25
605 199.67 -1 50 30136.25
606 199.63 -5 100 30134.25
607 199.51 -5 150 30122.25
608 199.545 -3 150 30127.499999999996
609 199.4 -5 150 30105.75
610 199.26 -5 150 30084.75
611 199.48 -3 150 30117.75
612 199.49 1 100 30119.25
613 199.4 1 50 30110.25
614 199.29 -1 100 30104.75
615 199.32 -1 150 30107.75
616 199.21 -5 150 30091.25
617 199.08 -5 150 30071.750000000004
618 199.18 -3 150 30086.75
619 199.1 -3 150 30074.75
620 198.88 1 100 30041.75
621 198.72 -5 150 30025.75
622 198.58 -5 150 30004.750000000004
623 198.94 -1 150 30058.75
624 198.93 -1 150 30057.25
625 199.07 3 100 30078.25
626 198.9 3 50 30061.25
627 198.92 1 0 30062.25
628 198.96 -1 50 30062.25
629 198.84 -1 100 30056.25
630 198.82 -5 150 30054.25
631 198.92 -1 150 30069.249999999996
632 198.78 1 100 30048.25
633 198.88 -3 150 30058.25
634 198.81 1 100 30047.75
635 198.85 -1 150 30051.75
636 198.89 1 100 30057.75
637 198.65 1 50 30033.75
638 198.55 -3 100 30028.75
639 198.56 -3 150 30029.75
640 198.59 -1 150 30034.25
641 198.63 1 100 30040.25
642 198.67 3 50 30044.25
643 198.625 3 0 30042.0
644 198.68 1 0 30042.0
645 198.82 1 0 30042.0
646 198.96 3 0 30042.0
647 198.9 3 0 30042.0
648 198.93 3 0 30042.0
649 198.92 1 0 30042.0
650 199.06 1 0 30042.0
651 198.89 3 0 30042.0
652 199.02 -3 50 30042.0
653 199.1 -1 100 30046.0
654 199.06 3 50 30042.0
655 199.04 1 0 30041.0
656 199.08 -1 50 30041.0
657 198.99 1 0 30036.5
658 199.01 -3 50 30036.5
659 198.87 -1 100 30029.5
660 199.1 -3 150 30052.5
661 199.18 1 100 30064.5
662 199.3 5 50 30076.5
663 199.155 3 0 30069.25
664 199.13 -1 50 30069.25
665 199.28 -1 100 30076.75
666 199.32 1 50 30080.75
667 199.33 5 0 30081.25
668 199.37 5 0 30081.25
669 199.29 1 0 30081.25
670 199.24 -1 50 30081.25
671 199.28 -3 100 30083.25
672 199.175 -5 150 30072.75
673 199.2 -3 150 30076.5
674 198.945 -1 150 30038.25
675 198.76 -3 150 30010.5
676 198.78 -3 150 30013.5
677 198.77 -3 150 30012.0
678 198.68 -3 150 29998.5
679 198.78 -3 150 30013.5
680 198.77 -1 150 30012.0
681 198.83 1 100 30021.0
682 198.84 5 50 30022.0
683 198.91 5 0 30025.5
684 198.89 3 0 30025.5
685 198.91 3 0 30025.5
686 198.88 1 0 30025.5
687 198.76 -1 50 30025.5
688 198.75 -5 100 30025.0
689 198.78 -1 150 30028.0
690 198.86 1 100 30040.0
691 198.8 1 50 30034.0
692 198.745 1 0 30031.25
693 198.75 -1 50 30031.25
694 198.725 -5 100 30030.0
695 198.92 -1 150 30049.499999999996
696 198.74 3 100 30022.5
697 198.84 3 50 30032.5
698 198.88 3 0 30034.5
699 198.95 3 0 30034.5
700 198.94 3 0 30034.5
701 198.9 1 0 30034.5
702 198.89 -1 50 30034.5
703 198.95 -1 100 30037.5
704 199.09 1 50 30051.5
705 199.13 5 0 30053.5
706 199.17 5 0 30053.5
707 199.18 5 0 30053.5
708 199.27 5 0 30053.5
709 199.13 3 0 30053.5
710 199.12 -1 50 30053.5
711 199.16 -1 100 30055.5
712 199.08 -1 150 30047.500000000004
713 199.17 -3 150 30060.999999999996
714 199.13 3 100 30055.0
715 199.19 -1 150 30061.0
716 199.19 3 100 30061.0
717 199.13 1 50 30055.0
718 199.1 -1 100 30053.5
719 199.12 -3 150 30055.5
720 199.17 -1 150 30062.999999999996
721 199.1 3 100 30052.5
722 199.115 1 50 30054.0
723 199.12 1 0 30054.25
724 199.1 -3 50 30054.25
725 199.12 -3 100 30055.25
726 199.195 1 50 30062.75
727 199.15 3 0 30060.5
728 199.04 1 0 30060.5
729 199.05 -1 50 30060.5
730 198.71 -3 100 30043.5
731 198.8 -3 150 30052.5
732 198.79 -3 150 30051.0
733 198.65 -3 150 30030.0
734 198.51 -3 150 30009.0
735 198.46 -5 150 30001.5
736 198.37 -5 150 29988.0
737 198.47 -3 150 30003.0
738 198.37 -1 150 29988.0
739 198.22 -1 150 29965.5
740 198.37 -3 150 29988.0
741 198.19 -1 150 29961.0
742 198.3 -3 150 29977.5
743 198.44 -1 150 29998.5
744 198.56 3 100 30016.5
745 198.45 3 50 30005.5
746 198.72 5 0 30019.0
747 198.65 3 0 30019.0
748 198.63 1 0 30019.0
749 198.82 1 0 30019.0
750 198.805 3 0 30019.0
751 198.85 5 0 30019.0
752 198.81 3 0 30019.0
753 198.8 1 0 30019.0
754 198.73 -1 50 30019.0
755 198.73 -5 100 30019.0
756 198.74 -1 150 30020.0
757 198.78 1 100 30026.0
758 198.86 3 50 30034.0
759 198.82 3 0 30032.0
760 198.83 3 0 30032.0
761 198.865 3 0 30032.0
762 198.91 3 0 30032.0
763 198.95 3 0 30032.0
764 198.89 3 0 30032.0
765 198.85 -1 50 30032.0
766 198.88 -3 100 30033.5
767 198.925 -1 150 30038.0
768 199 1 100 30049.25
769 199.05 5 50 30054.25
770 198.98 3 0 30050.75
771 199.02 1 0 30050.75
772 198.94 -1 50 30050.75
773 198.86 -3 100 30046.75
774 198.85 -5 150 30045.75
775 198.775 -5 150 30034.5
776 198.97 -1 150 30063.75
777 199.07 1 100 30078.75
778 199.09 5 50 30080.75
779 199.11 5 0 30081.75
780 199.18 5 0 30081.75
781 199.05 3 0 30081.75
782 199.05 1 0 30081.75
783 199.06 -1 50 30081.75
784 199.03 -3 100 30080.25
785 199.02 -5 150 30079.25
786 199.06 -1 150 30085.25
787 199.16 1 100 30100.25
788 199.2 5 50 30104.25
789 199.205 5 0 30104.5
790 199.05 1 0 30104.5
791 199.12 -1 50 30104.5
792 199.13 -1 100 30105.0
793 199.12 -1 150 30104.0
794 199.17 1 100 30111.5
795 199.2 5 50 30114.5
796 199.15 3 0 30112.0
797 199.18 1 0 30112.0
798 199.24 -1 50 30112.0
799 199.23 3 0 30111.5
800 199.22 1 0 30111.5
801 199.16 -1 50 30111.5
802 199.08 -3 100 30107.5
803 199.13 -3 150 30112.5
804 199.22 -1 150 30126.0
805 199.21 1 100 30124.5
806 199.19 1 50 30122.5
807 199.325 1 0 30129.25
808 199.42 5 0 30129.25
809 199.42 3 0 30129.25
810 199.49 5 0 30129.25
811 199.46 3 0 30129.25
812 199.46 1 0 30129.25
813 199.38 -1 50 30129.25
814 199.32 -3 100 30126.25
815 199.2 -5 150 30114.25
816 199.24 -3 150 30120.25
817 199.21 -3 150 30115.75
818 199.2 -3 150 30114.25
819 199.27 -1 150 30124.75
820 199.22 3 100 30117.25
821 199.23 3 50 30118.25
822 199.12 -1 100 30112.75
823 198.98 -3 150 30098.75
824 199.12 -3 150 30119.75
825 199.15 1 100 30124.25
826 199.16 3 50 30125.25
827 199.11 1 0 30122.75
828 199.09 -1 50 30122.75
829 199.12 -3 100 30124.25
830 199.13 1 50 30125.25
831 199.1 -1 100 30123.75
832 199.03 -1 150 30116.75
833 199.12 -3 150 30130.25
834 199.03 1 100 30116.75
835 199.13 -3 150 30126.75
836 199.09 3 100 30120.75
837 199.12 1 50 30123.75
838 199.18 1 0 30126.75
839 199.17 3 0 30126.75
