time stock-price dip decision number-of-stocks portfolio-value
960 200.68 0 0 0 29989.454999999973
960 198.81 1 0 0 29878.639999999985
960 198.84 0 4 0 29831.464999999993
960 199.19 0 -2 37 29834.42499999999
960 199.35 2 -2 37 29638.695
960 203.2 0 -4 36 29756.704999999987
960 203.88 0 0 0 29754.364999999976
960 203.88 0 0 0 29754.364999999976
960 204.61 1 2 0 29745.184999999987
960 207.5 0 -2 36 29927.34500000001
960 207.19 5 0 0 29918.46000000002
960 205.29 0 -4 36 29918.64000000002
960 204.34 0 0 0 29835.48000000002
960 204.56 1 2 0 29924.94000000002
960 200.66 1 0 0 29728.215000000033
960 210.56 1 0 0 29517.075000000048
960 209.16 0 -2 35 29576.445000000058
960 211.75 0 2 0 29741.470000000052
960 208.59 0 0 0 29825.400000000063
960 202.89 0 4 0 29836.170000000075
960 202.93 1 2 0 29804.8500000001
960 200.42 2 2 0 29881.070000000123
960 197.26 0 0 0 29999.975000000144
