time stock-price decision_max decision number-of-stocks portfolio-value
570 30.77 -9 0 0 30000.0
571 30.53 -7 0 0 30000.0
572 30.46 9 0 0 30000.0
573 30.53 -5 0 0 30000.0
574 30.57 -7 0 0 30000.0
575 30.445 9 0 0 30000.0
576 30.29 9 0 0 30000.0
577 30.295 7 0 0 30000.0
578 30.22 9 0 0 30000.0
579 30.25 7 0 0 30000.0
580 30.17 9 0 0 30000.0
581 30.19 7 0 0 30000.0
582 30.19 7 0 0 30000.0
583 30.25 -9 0 0 30000.0
584 30.275 -9 0 0 30000.0
585 30.265 -7 0 0 30000.0
586 30.215 9 -5 248 30000.0
587 30.235 -1 1 0 30004.96
588 30.215 9 5 0 30004.96
589 30.29 -9 0 0 30004.96
590 30.26 -7 0 0 30004.96
591 30.28 -7 0 0 30004.96
592 30.36 -9 0 0 30004.96
593 30.335 -7 0 0 30004.96
594 30.29 9 -3 247 30004.96
595 30.18 9 5 0 29977.789999999997
596 30.16 9 5 0 29977.789999999997
597 30.18 5 5 0 29977.789999999997
598 30.235 1 5 0 29977.789999999997
599 30.185 5 -1 248 29977.789999999997
600 30.19 3 -5 496 29979.03
601 30.07 9 5 247 29919.51
602 30.1 7 5 0 29926.92
603 30.115 5 5 0 29926.92
604 30.11 5 5 0 29926.92
605 30.185 -9 0 0 29926.92
606 30.17 -7 0 0 29926.92
607 30.1 9 -1 248 29926.92
608 30.12 7 -3 496 29931.879999999997
609 30.16 -9 0 0 29951.72
610 30.2 -9 0 0 29951.72
611 30.215 -9 0 0 29951.72
612 30.2 -5 -5 247 29951.72
613 30.2 -5 -5 494 29951.72
614 30.2 -3 -5 741 29951.72
615 30.145 9 5 493 29910.965
616 30.095 9 5 245 29886.315000000002
617 30.13 7 5 0 29894.89
618 30.14 3 5 0 29894.89
619 30.165 -9 0 0 29894.89
620 30.14 3 -5 247 29894.89
621 30.165 -9 0 0 29901.065
622 30.195 -9 0 0 29901.065
623 30.19 -7 0 0 29901.065
624 30.2 -9 0 0 29901.065
625 30.23 -9 0 0 29901.065
626 30.2 -5 -1 247 29901.065000000002
627 30.205 -5 -1 494 29902.300000000003
628 30.23 -9 0 0 29914.65
629 30.185 9 5 0 29914.65
630 30.215 -7 0 0 29914.65
631 30.22 -9 0 0 29914.65
632 30.25 -9 0 0 29914.65
633 30.19 9 1 0 29914.65
634 30.195 7 3 0 29914.65
635 30.25 -9 0 0 29914.65
636 30.22 -1 5 0 29914.65
637 30.22 1 -3 247 29914.65
638 30.23 -7 0 0 29917.120000000003
639 30.27 -9 0 0 29917.120000000003
640 30.295 -9 0 0 29917.120000000003
641 30.32 -9 0 0 29917.120000000003
642 30.31 -7 0 0 29917.120000000003
643 30.33 -9 0 0 29917.120000000003
644 30.4 -9 0 0 29917.120000000003
645 30.37 -7 0 0 29917.120000000003
646 30.37 -5 -5 246 29917.120000000003
647 30.37 -5 -5 492 29917.120000000003
648 30.36 1 5 246 29912.199999999997
649 30.335 9 5 0 29906.05
650 30.395 -9 0 0 29906.05
651 30.37 -5 1 0 29906.05
652 30.375 -7 0 0 29906.05
653 30.35 9 -5 246 29906.049999999996
654 30.35 9 5 0 29906.049999999996
655 30.35 9 3 0 29906.049999999996
656 30.31 9 5 0 29906.049999999996
657 30.34 7 1 0 29906.049999999996
658 30.345 -1 -1 246 29906.049999999996
659 30.345 -7 0 0 29906.049999999996
660 30.38 -9 0 0 29906.049999999996
661 30.4 -9 0 0 29906.049999999996
662 30.44 -9 0 0 29906.049999999996
663 30.435 -7 0 0 29906.049999999996
664 30.435 -5 -5 245 29906.049999999996
665 30.4 9 5 0 29897.474999999995
666 30.42 -1 5 0 29897.474999999995
667 30.45 -9 0 0 29897.474999999995
668 30.45 -9 0 0 29897.474999999995
669 30.47 -9 0 0 29897.474999999995
670 30.475 -9 0 0 29897.474999999995
671 30.475 -7 0 0 29897.474999999995
672 30.515 -9 0 0 29897.474999999995
673 30.52 -9 0 0 29897.474999999995
674 30.52 -7 0 0 29897.474999999995
675 30.54 -9 0 0 29897.474999999995
676 30.56 -9 0 0 29897.474999999995
677 30.58 -9 0 0 29897.474999999995
678 30.55 -5 -5 244 29897.474999999995
679 30.54 9 5 0 29895.034999999996
680 30.55 -3 5 0 29895.034999999996
681 30.59 -9 0 0 29895.034999999996
682 30.585 -7 0 0 29895.034999999996
683 30.62 -9 0 0 29895.034999999996
684 30.65 -9 0 0 29895.034999999996
685 30.65 -7 0 0 29895.034999999996
686 30.635 -5 -5 243 29895.034999999996
687 30.605 9 5 0 29887.744999999995
688 30.605 9 5 0 29887.744999999995
689 30.655 -9 0 0 29887.744999999995
690 30.65 -7 0 0 29887.744999999995
691 30.685 -9 0 0 29887.744999999995
692 30.685 -9 0 0 29887.744999999995
693 30.65 -3 -5 243 29887.744999999995
694 30.59 9 5 0 29873.164999999994
695 30.565 9 5 0 29873.164999999994
696 30.555 9 5 0 29873.164999999994
697 30.555 9 5 0 29873.164999999994
698 30.57 5 5 0 29873.164999999994
699 30.59 1 -1 244 29873.164999999994
700 30.57 5 -5 488 29868.284999999996
701 30.58 -1 -5 732 29873.164999999994
702 30.58 -1 -5 976 29873.164999999994
703 30.58 -3 -3 976 29873.164999999994
704 30.59 -9 0 0 29882.924999999996
705 30.59 -7 0 0 29882.924999999996
706 30.58 9 1 0 29882.924999999996
707 30.59 -9 0 0 29882.924999999996
708 30.6 -9 0 0 29882.924999999996
709 30.59 -5 1 0 29882.924999999996
710 30.57 9 3 0 29882.924999999996
711 30.525 9 5 0 29882.924999999996
712 30.56 7 5 0 29882.924999999996
713 30.59 -9 0 0 29882.924999999996
714 30.57 1 -1 244 29882.924999999996
