time stock-price avg-price-5-min avg-price-10-5-min avg-vol-10-min avg-vol-20-10-min number-of-stocks portfolio-value 
570 222.73 218.37400000000002 217.381 1023.3 1250.4 0 30000.0
571 221.625 219.233 217.388 1171.4 1340.7 0 30000.0
572 221.03 219.971 217.372 1217.8 1421.2 0 30000.0
573 219.9 220.467 217.37400000000002 1258.0 1433.2 0 30000.0
574 219.96 221.04899999999998 217.298 1392.2 1195.6 0 30000.0
575 221.19 220.74099999999999 218.37400000000002 1523.4 699.4 0 30000.0
576 221.27 220.67 219.233 1530.0 553.8 0 30000.0
577 222.15 220.894 219.971 1584.3 642.6 0 30000.0
578 221.81 221.27599999999998 220.467 1834.8 640.6 0 30000.0
579 222.65 221.81400000000002 221.04899999999998 1918.2 820.3 0 30000.0
580 221.65 221.906 220.74099999999999 1993.3 1023.3 0 30000.0
581 221.91 222.03400000000002 220.67 1998.1 1171.4 0 30000.0
582 222.235 222.05100000000002 220.894 2030.7 1217.8 0 30000.0
583 221.4 221.969 221.27599999999998 2492.2 1258.0 0 30000.0
584 220.7 221.579 221.81400000000002 2452.3 1392.2 25 30000.0
585 220.21 221.291 221.906 2403.3 1523.4 50 29987.75
586 220.52 221.013 222.03400000000002 2398.2 1530.0 75 30003.25
587 218.63 220.292 222.05100000000002 2452.5 1666.0 100 29861.5
588 218.89 219.78999999999996 221.969 2429.3 1834.8 125 29887.5
589 218.16 219.282 221.579 2267.6 1918.2 150 29796.25
590 217.905 218.821 221.291 2093.1 1993.3 175 29758.0
591 218.625 218.442 221.013 2105.7 1998.1 200 29884.0
592 218.38 218.392 220.292 2073.8 2030.7 225 29835.0
593 217.99 218.212 219.78999999999996 1661.2 2492.2 225 29747.25
594 217.39 218.058 219.282 1638.7 2452.3 225 29612.25
595 217.1 217.897 218.821 1564.8 2403.3 225 29547.0
596 216.76 217.52399999999997 218.442 1574.8 2398.2 225 29470.5
597 216.53 217.154 218.392 1367.1 2452.5 225 29418.75
598 216.13 216.78199999999998 218.212 1445.2 2429.3 225 29328.75
599 216.05 216.51399999999998 218.058 1432.5 2267.6 225 29310.75
600 216.38 216.36999999999998 217.897 1423.1 2093.1 225 29385.0
601 216.32 216.282 217.52399999999997 1366.6 2105.7 225 29371.5
602 217.57 216.48999999999995 217.154 1645.2 2073.8 225 29652.75
603 217.73 216.81 216.78199999999998 1599.9 1661.2 0 29688.75
604 217.28 217.05599999999998 216.51399999999998 1530.4 1638.7 0 29688.75
605 217.65 217.31 216.36999999999998 1502.4 1564.8 0 29688.75
606 217.41 217.52799999999996 216.282 1435.9 1574.8 0 29688.75
607 217.5 217.51399999999998 216.48999999999995 1481.8 1367.1 0 29688.75
608 216.51 217.26999999999998 216.81 1378.7 1445.2 0 29688.75
609 216.36 217.08599999999996 217.05599999999998 1478.0 1432.5 0 29688.75
610 216.32 216.82 217.31 1427.4 1423.1 25 29688.75
611 216.35 216.608 217.52799999999996 1279.5 1366.6 25 29689.5
612 216.46 216.4 217.51399999999998 911.8 1645.2 25 29692.25
613 217.24 216.546 217.26999999999998 926.8 1599.9 0 29711.75
614 217.09 216.692 217.08599999999996 1068.0 1530.4 0 29711.75
615 216.09 216.64600000000002 216.82 1027.4 1502.4 0 29711.75
616 216.29 216.63400000000001 216.608 1114.7 1435.9 0 29711.75
617 216.47 216.63600000000002 216.4 1116.6 1481.8 0 29711.75
618 215.74 216.336 216.546 1035.2 1378.7 0 29711.75
619 214.97 215.91199999999998 216.692 941.8 1478.0 0 29711.75
620 214.64 215.622 216.64600000000002 919.3 1427.4 0 29711.75
621 214.425 215.24900000000002 216.63400000000001 1097.6 1279.5 0 29711.75
622 213.94 214.74300000000002 216.63600000000002 1211.5 911.8 25 29711.75
623 214.4 214.47500000000005 216.336 1212.2 926.8 50 29723.25
624 212.74 214.029 215.91199999999998 1140.7 1068.0 75 29640.25
625 213.24 213.74899999999997 215.622 1238.8 1027.4 100 29677.75
626 212.7 213.404 215.24900000000002 1176.6 1114.7 125 29623.75
627 212.32 213.07999999999998 214.74300000000002 1266.3 1116.6 150 29576.25
628 212.08 212.61599999999999 214.47500000000005 1137.4 1035.2 175 29540.25
629 212.71 212.60999999999999 214.029 1122.8 941.8 200 29650.5
630 211.52 212.26600000000002 213.74899999999997 1180.8 919.3 225 29412.5
631 211.38 212.002 213.404 1007.4 1097.6 225 29381.0
632 211.51 211.84 213.07999999999998 902.4 1211.5 225 29410.25
633 210.96 211.61599999999999 212.61599999999999 1051.6 1212.2 225 29286.5
634 211.34 211.342 212.60999999999999 1100.7 1140.7 225 29372.0
635 211.66 211.37000000000003 212.26600000000002 1104.7 1238.8 225 29444.0
636 211.45 211.38400000000001 212.002 1253.2 1176.6 0 29396.75
637 211.88 211.458 211.84 1168.0 1266.3 0 29396.75
638 211.545 211.575 211.61599999999999 1437.9 1137.4 0 29396.75
639 212.95 211.897 211.342 1742.9 1122.8 0 29396.75
640 211.94 211.95300000000003 211.37000000000003 1804.1 1180.8 0 29396.75
641 212.29 212.121 211.38400000000001 1768.8 1007.4 0 29396.75
642 211.26 211.99699999999999 211.458 1767.9 902.4 0 29396.75
643 211.5 211.988 211.575 1648.4 1051.6 0 29396.75
644 211.41 211.68 211.897 1551.0 1100.7 25 29396.75
645 212.36 211.76399999999998 211.95300000000003 1635.2 1104.7 50 29420.5
646 212.66 211.83800000000002 212.121 1737.4 1253.2 75 29435.5
647 213.13 212.212 211.99699999999999 1773.8 1168.0 0 29470.75
648 213.4 212.592 211.988 1606.3 1437.9 0 29470.75
649 212.78 212.86599999999999 211.68 1233.0 1742.9 0 29470.75
650 213.4 213.07399999999998 211.76399999999998 1246.4 1804.1 0 29470.75
651 213.63 213.26799999999997 211.83800000000002 1344.1 1768.8 0 29470.75
652 213.555 213.353 212.212 1397.8 1767.9 0 29470.75
653 213.67 213.407 212.592 1420.1 1648.4 0 29470.75
654 213.375 213.526 212.86599999999999 1547.7 1551.0 0 29470.75
655 213.08 213.462 213.07399999999998 1467.2 1635.2 0 29470.75
656 213.29 213.394 213.26799999999997 1259.6 1737.4 0 29470.75
657 212.33 213.14899999999997 213.353 1256.7 1773.8 0 29470.75
658 212.44 212.90300000000002 213.407 1267.8 1606.3 0 29470.75
659 212.4 212.70800000000003 213.526 1316.1 1233.0 25 29470.75
660 212.75 212.642 213.462 1204.6 1246.4 25 29479.5
661 213.11 212.606 213.394 1132.6 1344.1 25 29488.5
662 213.32 212.804 213.14899999999997 1123.5 1397.8 0 29493.75
663 213.66 213.048 212.90300000000002 1100.6 1420.1 0 29493.75
664 213.785 213.325 212.70800000000003 1092.7 1547.7 0 29493.75
665 213.69 213.513 212.642 1045.0 1467.2 0 29493.75
666 213.35 213.56099999999998 212.606 976.9 1259.6 0 29493.75
667 213.28 213.55300000000003 212.804 883.9 1256.7 0 29493.75
668 213.03 213.427 213.048 770.3 1267.8 0 29493.75
669 213.12 213.29399999999995 213.325 757.6 1316.1 0 29493.75
670 213.69 213.294 213.513 809.0 1204.6 0 29493.75
671 213.5 213.324 213.56099999999998 761.7 1132.6 0 29493.75
672 213.48 213.36399999999998 213.55300000000003 697.5 1123.5 0 29493.75
673 213.48 213.36399999999998 213.55300000000003 697.5 1123.5 0 29493.75
674 213 213.358 213.427 598.1 1100.6 0 29493.75
675 212.86 213.30599999999998 213.29399999999995 476.5 1092.7 0 29493.75
676 212.84 213.13600000000002 213.294 406.0 1045.0 0 29493.75
677 212.84 213.13600000000002 213.294 406.0 1045.0 0 29493.75
678 213.005 213.03699999999998 213.324 356.1 976.9 0 29493.75
679 213.005 213.03699999999998 213.324 356.1 976.9 0 29493.75
680 212.25 212.791 213.36399999999998 414.6 883.9 0 29493.75
681 212.15 212.621 213.358 503.9 770.3 0 29493.75
682 212.15 212.47899999999998 213.30599999999998 541.6 757.6 0 29493.75
683 212.03 212.317 213.13600000000002 426.1 809.0 0 29493.75
684 212.11 212.138 213.03699999999998 457.9 761.7 0 29493.75
685 212.11 212.138 213.03699999999998 457.9 761.7 0 29493.75
686 212.11 212.138 213.03699999999998 457.9 761.7 0 29493.75
687 212.19 212.12600000000003 212.791 445.4 697.5 0 29493.75
688 211.43 211.98200000000003 212.621 458.4 598.1 0 29493.75
689 211.81 211.914 212.47899999999998 438.4 476.5 0 29493.75
690 211.55 211.81799999999998 212.317 466.5 406.0 25 29493.75
691 211.33 211.66199999999998 212.138 517.9 356.1 50 29488.25
692 211.39 211.502 212.12600000000003 466.9 414.6 75 29491.25
693 211.41 211.498 211.98200000000003 453.2 503.9 0 29492.75
694 211.31 211.398 211.914 401.0 541.6 0 29492.75
695 211.32 211.352 211.81799999999998 471.5 426.1 25 29492.75
696 211 211.28599999999997 211.66199999999998 439.5 457.9 25 29484.75
697 210.41 211.09 211.502 473.4 445.4 50 29470.0
698 210.79 210.96599999999998 211.498 461.4 458.4 75 29489.0
699 211.13 210.93 211.398 546.9 438.4 100 29514.5
700 211.38 210.942 211.352 561.0 466.5 125 29539.5
701 211.46 211.03399999999996 211.28599999999997 562.4 517.9 0 29549.5
702 211.4 211.23200000000003 211.09 602.4 466.9 0 29549.5
703 211.81 211.436 210.96599999999998 677.0 453.2 0 29549.5
704 211.51 211.512 210.93 825.2 401.0 0 29549.5
705 211.48 211.532 210.942 774.7 471.5 0 29549.5
706 211.48 211.532 210.942 774.7 471.5 0 29549.5
707 211.48 211.532 210.942 774.7 471.5 0 29549.5
708 212.34 211.708 211.03399999999996 926.8 439.5 0 29549.5
709 211.88 211.804 211.23200000000003 905.4 473.4 0 29549.5
710 211.94 211.83 211.436 900.5 461.4 0 29549.5
711 211.76 211.88000000000002 211.512 825.0 546.9 0 29549.5
712 211.78 211.94 211.532 777.0 561.0 0 29549.5
713 211.58 211.78799999999995 211.708 750.6 562.4 0 29549.5
714 211.64 211.74 211.804 842.2 602.4 25 29549.5
715 212 211.752 211.83 744.0 677.0 50 29558.5
716 211.79 211.75799999999998 211.88000000000002 603.1 825.2 50 29548.0
717 211.8 211.762 211.94 608.1 774.7 50 29548.5
718 211.97 211.84 211.78799999999995 495.5 926.8 0 29557.0
719 211.79 211.86999999999998 211.74 465.5 905.4 0 29557.0
720 211.69 211.808 211.752 789.4 900.5 0 29557.0
721 211.555 211.76100000000002 211.75799999999998 859.4 825.0 0 29557.0
722 211.31 211.663 211.762 877.8 777.0 25 29557.0
723 211.46 211.561 211.84 891.2 750.6 50 29560.75
724 211.37 211.47700000000003 211.86999999999998 749.6 842.2 50 29556.25
725 211.37 211.47700000000003 211.86999999999998 749.6 842.2 50 29556.25
726 211.49 211.43699999999998 211.808 677.7 744.0 50 29562.25
727 211.59 211.44400000000002 211.76100000000002 648.3 603.1 75 29567.25
728 211.99 211.58 211.663 633.3 608.1 0 29597.25
729 212.19 211.72600000000003 211.561 654.3 495.5 0 29597.25
730 212.01 211.85399999999998 211.47700000000003 764.3 465.5 0 29597.25
731 212.1 211.97599999999997 211.43699999999998 498.8 789.4 0 29597.25
732 212.66 212.19 211.44400000000002 494.3 859.4 0 29597.25
733 212.68 212.32799999999997 211.58 552.7 877.8 0 29597.25
734 212.46 212.382 211.72600000000003 626.5 891.2 0 29597.25
735 212.49 212.478 211.85399999999998 636.5 749.6 0 29597.25
736 212.89 212.63600000000002 211.97599999999997 697.6 677.7 0 29597.25
737 212.87 212.67799999999997 212.19 753.9 648.3 0 29597.25
738 213.18 212.77800000000002 212.32799999999997 771.3 633.3 0 29597.25
739 213.28 212.942 212.382 837.4 654.3 0 29597.25
740 213.23 213.09 212.478 718.4 764.3 0 29597.25
741 213.21 213.154 212.63600000000002 650.9 498.8 0 29597.25
742 213.5 213.28000000000003 212.67799999999997 565.4 494.3 0 29597.25
743 213.47 213.33800000000002 212.77800000000002 511.4 552.7 0 29597.25
744 213.74 213.43 212.942 592.9 626.5 0 29597.25
745 213.63 213.51000000000005 213.09 596.8 636.5 0 29597.25
746 213.75 213.61800000000002 213.154 526.0 697.6 0 29597.25
747 213.83 213.68400000000003 213.28000000000003 606.3 753.9 0 29597.25
748 213.5 213.69 213.33800000000002 644.0 771.3 0 29597.25
749 213.68 213.67800000000003 213.43 556.9 837.4 0 29597.25
750 213.28 213.608 213.51000000000005 595.9 718.4 0 29597.25
751 213.11 213.48000000000002 213.61800000000002 598.9 650.9 0 29597.25
752 212.97 213.308 213.68400000000003 704.8 565.4 25 29597.25
753 212.93 213.19400000000002 213.69 731.0 511.4 50 29596.25
754 213.24 213.106 213.67800000000003 563.6 592.9 50 29611.75
755 213.04 213.058 213.608 559.7 596.8 50 29601.75
756 212.9 213.016 213.48000000000002 569.4 526.0 75 29594.75
757 212.79 212.98000000000002 213.308 412.9 606.3 0 29586.5
758 212.94 212.98199999999997 213.19400000000002 339.3 644.0 0 29586.5
759 213.05 212.94400000000002 213.106 319.3 556.9 0 29586.5
760 213.17 212.97000000000003 213.058 309.3 595.9 0 29586.5
761 213.33 213.05599999999998 213.016 299.3 598.9 0 29586.5
762 213.3 213.158 212.98000000000002 193.1 704.8 0 29586.5
763 213.41 213.25200000000004 212.98199999999997 185.9 731.0 0 29586.5
764 213.41 213.25200000000004 212.98199999999997 185.9 731.0 0 29586.5
765 213.66 213.37399999999997 212.94400000000002 188.0 563.6 0 29586.5
766 213.74 213.488 212.97000000000003 180.2 559.7 0 29586.5
767 214.05 213.632 213.05599999999998 205.2 569.4 0 29586.5
768 214.1 213.79199999999997 213.158 284.4 412.9 0 29586.5
769 214.405 213.99100000000004 213.25200000000004 394.9 339.3 0 29586.5
770 214.8 214.219 213.37399999999997 470.9 319.3 0 29586.5
