time stock-price current-volume avg-price-5-min avg-price-10-5-min avg-vol-10-min avg-vol-20-10-min number-of-stocks portfolio-value 
570 211.99 1556 209.916 209.7 2427.5 678.1 0 30000.0
571 211.795 1000 210.323 209.666 2487.5 658.1 0 30000.0
572 208.62 1677 210.171 209.57200000000003 2580.2 710.4 0 30000.0
573 208.78 392 210.09700000000004 209.494 2563.6 726.2 0 30000.0
574 208.59 1406 209.95499999999998 209.446 2541.2 839.2 0 30000.0
575 208.95 745 209.34699999999998 209.916 2330.8 1113.8 25 30000.0
576 208.97 682 208.782 210.323 1954.1 1524.2 50 30000.5
577 209.15 405 208.888 210.171 1785.9 1517.9 75 30009.5
578 209.345 659 209.00099999999998 210.09700000000004 1463.7 1829.8 0 30024.125
579 209.26 800 209.135 209.95499999999998 932.2 2421.3 0 30024.125
580 210.14 1810 209.373 209.34699999999998 957.6 2427.5 0 30024.125
581 210.125 1162 209.60399999999998 208.782 973.8 2487.5 0 30024.125
582 211.34 800 210.042 208.888 886.1 2580.2 0 30024.125
583 211.43 2011 210.459 209.00099999999998 1048.0 2563.6 0 30024.125
584 211.42 150 210.89100000000002 209.135 922.4 2541.2 0 30024.125
585 212.29 650 211.321 209.373 912.9 2330.8 0 30024.125
586 212.63 525 211.82199999999997 209.60399999999998 897.2 1954.1 0 30024.125
587 211.86 1000 211.92600000000002 210.042 956.7 1785.9 0 30024.125
588 211.92 1870 212.02399999999997 210.459 1077.8 1463.7 0 30024.125
589 212.07 2000 212.154 210.89100000000002 1197.8 932.2 0 30024.125
590 212.67 786 212.23000000000002 211.321 1095.4 957.6 0 30024.125
591 212.35 511 212.17399999999998 211.82199999999997 1030.3 973.8 0 30024.125
592 212.33 900 212.26799999999997 211.92600000000002 1040.3 886.1 0 30024.125
593 212.4 543 212.36400000000003 212.02399999999997 893.5 1048.0 0 30024.125
594 213.16 1460 212.58200000000002 212.154 1024.5 922.4 0 30024.125
595 213.42 1288 212.73200000000003 212.23000000000002 1088.3 912.9 0 30024.125
596 213.21 515 212.904 212.17399999999998 1087.3 897.2 0 30024.125
597 213.81 2330 213.2 212.26799999999997 1220.3 956.7 0 30024.125
598 213.5 538 213.42 212.36400000000003 1087.1 1077.8 0 30024.125
599 213.88 3088 213.56400000000002 212.58200000000002 1195.9 1197.8 0 30024.125
600 214.62 3424 213.804 212.73200000000003 1459.7 1095.4 0 30024.125
601 214.43 1850 214.048 212.904 1593.6 1030.3 0 30024.125
602 214.06 1741 214.098 213.2 1677.7 1040.3 0 30024.125
603 213.14 3702 214.026 213.42 1993.6 893.5 0 30024.125
604 212.53 1409 213.756 213.56400000000002 1988.5 1024.5 0 30024.125
605 212.815 684 213.39499999999998 213.804 1928.1 1088.3 25 30024.125
606 212.12 1069 212.933 214.048 1983.5 1087.3 50 30006.75
607 211.86 803 212.493 214.098 1830.8 1220.3 75 29993.75
608 211.6 425 212.185 214.026 1819.5 1087.1 100 29974.25
609 211.53 42 211.98500000000004 213.756 1514.9 1195.9 125 29967.25
610 212.38 550 211.898 213.39499999999998 1227.5 1459.7 0 30073.5
611 212.29 1243 211.93200000000002 212.933 1166.8 1593.6 0 30073.5
612 212.89 832 212.138 212.493 1075.9 1677.7 0 30073.5
613 212.5 297 212.31799999999998 212.185 735.4 1993.6 0 30073.5
614 212.23 952 212.458 211.98500000000004 689.7 1988.5 0 30073.5
615 212.42 628 212.46599999999998 211.898 684.1 1928.1 0 30073.5
616 212.65 45 212.538 211.93200000000002 581.7 1983.5 0 30073.5
617 212.86 100 212.53199999999998 212.138 511.4 1830.8 0 30073.5
618 212.45 800 212.522 212.31799999999998 548.9 1819.5 0 30073.5
619 212.39 800 212.554 212.458 624.7 1514.9 0 30073.5
620 212.33 921 212.536 212.46599999999998 661.8 1227.5 0 30073.5
621 212.595 115 212.525 212.538 549.0 1166.8 0 30073.5
622 213.26 1736 212.60500000000002 212.53199999999998 639.4 1075.9 0 30073.5
623 213.48 352 212.811 212.522 644.9 735.4 0 30073.5
624 213.5 617 213.033 212.554 611.4 689.7 0 30073.5
625 213.37 201 213.24099999999999 212.536 568.7 684.1 0 30073.5
626 213.16 177 213.35399999999998 212.525 581.9 581.7 0 30073.5
627 213.22 200 213.346 212.60500000000002 591.9 511.4 0 30073.5
628 213.61 347 213.372 212.811 546.6 548.9 0 30073.5
629 213.52 76 213.37600000000003 213.033 474.2 624.7 0 30073.5
630 213.31 600 213.36399999999998 213.24099999999999 442.1 661.8 0 30073.5
631 212.7 1452 213.27200000000002 213.35399999999998 575.8 549.0 25 30073.5
632 212.7 1200 213.16800000000003 213.346 522.2 639.4 0 30073.5
633 212.64 850 212.974 213.372 572.0 644.9 0 30073.5
634 212.23 750 212.71599999999998 213.37600000000003 585.3 611.4 0 30073.5
635 212.96 216 212.64600000000002 213.36399999999998 586.8 568.7 25 30073.5
636 212.99 300 212.704 213.27200000000002 599.1 581.9 50 30074.25
637 213.41 1355 212.846 213.16800000000003 714.6 591.9 75 30095.25
638 213.12 400 212.942 212.974 719.9 546.6 100 30073.5
639 213.51 200 213.198 212.71599999999998 732.3 474.2 0 30112.5
640 213.05 177 213.21599999999998 212.64600000000002 690.0 442.1 0 30112.5
641 212.71 117 213.16 212.704 556.5 575.8 0 30112.5
642 212.63 415 213.004 212.846 478.0 522.2 0 30112.5
643 212.41 600 212.862 212.942 453.0 572.0 0 30112.5
644 212.71 100 212.702 213.198 388.0 585.3 0 30112.5
645 212.89 200 212.67 213.21599999999998 386.4 586.8 0 30112.5
646 212.83 301 212.69400000000002 213.16 386.5 599.1 0 30112.5
647 212.86 100 212.74 213.004 261.0 714.6 0 30112.5
648 212.9 349 212.83800000000002 212.862 255.9 719.9 0 30112.5
649 212.72 200 212.84 212.702 255.9 732.3 0 30112.5
650 212.68 201 212.798 212.67 258.3 690.0 0 30112.5
651 212.7 673 212.77200000000002 212.69400000000002 313.9 556.5 0 30112.5
652 212.4 595 212.68 212.74 331.9 478.0 0 30112.5
653 212.5 829 212.6 212.83800000000002 354.8 453.0 0 30112.5
654 212.77 228 212.60999999999999 212.84 367.6 388.0 0 30112.5
655 212.88 450 212.65 212.798 392.6 386.4 25 30112.5
656 212.96 501 212.702 212.77200000000002 412.6 386.5 50 30114.5
657 212.86 500 212.794 212.68 452.6 261.0 0 30109.5
658 212.77 51 212.848 212.6 422.8 255.9 0 30109.5
659 212.75 752 212.844 212.60999999999999 478.0 255.9 0 30109.5
660 213.38 400 212.94400000000002 212.65 497.9 258.3 0 30109.5
661 213.68 1582 213.08800000000002 212.702 588.8 313.9 0 30109.5
662 213.37 400 213.18999999999997 212.794 569.3 331.9 0 30109.5
663 213.28 275 213.292 212.848 513.9 354.8 0 30109.5
664 213.28 919 213.398 212.844 583.0 367.6 0 30109.5
665 213.09 521 213.34 212.94400000000002 590.1 392.6 0 30109.5
666 211.29 3597 212.862 213.08800000000002 899.7 412.6 25 30109.5
667 211.51 1836 212.48999999999995 213.18999999999997 1033.3 452.6 50 30115.0
